Dest,Origin,TaxiIn,TaxiOut
ABE,ATL,5.0,21.75
ABE,DTW,5.5,25.5
ABE,FLL,4.0,15.0
ABE,ORD,4.4,18.4
ABE,PIE,5.5,24.5
ABE,SFB,5.8,13.4
ABQ,ATL,5.5,14.5
ABQ,AUS,4.75,16.25
ABQ,BWI,7.5,17.0
ABQ,DAL,3.9285714285714284,10.785714285714286
ABQ,DEN,5.181818181818182,15.181818181818182
ABQ,HOU,4.333333333333333,10.333333333333334
ABQ,IAH,6.166666666666667,15.75
ABQ,JFK,8.0,15.0
ABQ,LAS,4.631578947368421,12.210526315789474
ABQ,LAX,5.4375,13.9375
ABQ,MCI,6.0,8.333333333333334
ABQ,MDW,4.5,14.333333333333334
ABQ,OAK,3.0,10.333333333333334
ABQ,ORD,6.6,21.0
ABQ,PDX,6.166666666666667,11.666666666666666
ABQ,PHX,4.4,11.733333333333333
ABQ,SAN,4.153846153846154,14.076923076923077
ABQ,SEA,4.666666666666667,13.0
ABQ,SFO,5.5,20.1
ABQ,SLC,6.0,15.0
ABR,MSP,5.0,15.0
ABY,ATL,3.75,12.0
ACV,SFO,3.857142857142857,21.428571428571427
ACY,FLL,5.6,14.6
ACY,MCO,5.875,15.125
ACY,MYR,4.6,8.2
ACY,PBI,5.0,15.0
ACY,RSW,4.5,11.8
ACY,TPA,6.0,17.0
ADQ,ANC,3.75,12.0
AEX,ATL,3.0,18.0
AEX,IAH,3.7777777777777777,16.11111111111111
AGS,ATL,5.444444444444445,18.77777777777778
ALB,ATL,4.0,13.2
ALB,BWI,3.0,11.666666666666666
ALB,DEN,2.875,17.125
ALB,DTW,4.5,21.0
ALB,EWR,4.333333333333333,21.77777777777778
ALB,FLL,4.818181818181818,16.363636363636363
ALB,IAD,4.363636363636363,20.636363636363637
ALB,MCO,2.909090909090909,10.636363636363637
ALB,MDW,3.6666666666666665,9.5
ALB,MSP,3.0,23.0
ALB,ORD,4.5,18.5
ALB,RSW,2.3333333333333335,15.333333333333334
ALB,TPA,2.75,9.75
ALW,SEA,3.25,15.875
AMA,DAL,3.1,9.8
AMA,DEN,4.0,15.0
AMA,IAH,4.5,18.1
AMA,LAS,5.0,9.666666666666666
ANC,ADK,3.5,13.5
ANC,ADQ,4.25,8.25
ANC,BET,4.75,7.25
ANC,BRW,3.3333333333333335,4.666666666666667
ANC,CDV,4.0,6.0
ANC,DEN,3.3333333333333335,23.0
ANC,DUT,2.5,4.5
ANC,FAI,4.0,13.666666666666666
ANC,HNL,3.5,24.0
ANC,JNU,4.6,13.2
ANC,KOA,4.0,14.0
ANC,LAX,4.333333333333333,25.333333333333332
ANC,MSP,2.0,20.0
ANC,OGG,3.5,15.0
ANC,OME,4.5,7.0
ANC,ORD,3.3333333333333335,17.666666666666668
ANC,OTZ,4.5,9.5
ANC,PDX,5.0,13.75
ANC,PHX,4.0,13.0
ANC,SCC,6.0,14.0
ANC,SEA,4.526315789473684,17.86842105263158
APN,DTW,5.0,29.0
APN,PLN,6.0,27.0
ASE,ATL,4.0,19.0
